,sham.pval,sham.fdr,sna.pval,sna.fdr,sna.log2Ratio.fwd,sna.log2Ratio.rev,sham.log2Ratio.fwd,sham.log2Ratio.rev,sna.mean,sham.mean
Psmd4,6.05675086887037e-06,8.76426911237968e-05,NA,NA,NA,NA,3.113400462,2.876201392,NA,2.994800927
Ptrf,0.00944108994224364,0.0167898302216117,NA,NA,NA,NA,0.897705112,NA,NA,0.897705112
Rpl15,0.00360184069514947,0.00800679451827146,0.068458469601551,0.102687704402327,0.942383132,NA,1.173703117,1.323804819,0.942383132,1.248753968
Rpl18a,0.000571461102178414,0.00221189061901998,NA,NA,NA,NA,3.016425003,0.650747968,NA,1.8335864855
Rpl24,0.000441858328342037,0.00180946562546855,NA,NA,NA,NA,1.583807883,2.233108062,NA,1.9084579725
Rpl26,2.80571631760953e-05,0.000236687350895778,NA,NA,NA,NA,2.711384773,2.560557709,NA,2.635971241
Rpl28,0.0014526137980681,0.0040847003381573,0.0903746579001785,0.128752937282446,0.560910561,1.085588556,2.022154722,1.075854496,0.8232495585,1.549004609
Rpl34,0.0192401384973245,0.0287727525709989,NA,NA,NA,NA,NA,0.610036777,NA,0.610036777
Rpl35a,0.000250763755841091,0.00120677469561586,NA,NA,NA,NA,2.175588471,1.961507629,NA,2.06854805
Rpl4,0.00255613694746915,0.00627326722476588,NA,NA,NA,NA,NA,1.365202306,NA,1.365202306
Rpl5,0.000196111111644119,0.00102413580525262,NA,NA,NA,NA,2.020057652,2.252157197,NA,2.1361074245
Rpl7,6.9404347991013e-05,0.000474727309634246,NA,NA,NA,NA,NA,2.410198169,NA,2.410198169
Rps10,0.0168968138366586,0.0262219422276447,NA,NA,NA,NA,0.392647144,0.93669035,NA,0.664668747
Rps17,0.000365504941021771,0.00162501521075895,0.0367775400001236,0.060392592000203,0.293958979,2.074000581,1.847676272,2.077893512,1.18397978,1.962784892
Rps19,0.00197158898237503,0.00514803789842368,0.0549884831737733,0.0859728737932464,0.901108243,1.161136955,1.397857712,1.503813791,1.031122599,1.4508357515
Rps2,0.00257915269669858,0.00627326722476588,NA,NA,NA,NA,1.618943383,1.10547323,NA,1.3622083065
Rps27a,0.0126897651012395,0.0210954103653682,0.265217733125345,0.304220340937895,-0.046995569,0.555735799,1.130140135,0.433038758,0.254370115,0.7815894465
Rps5,0.00505735566603716,0.0101455488666233,0.0477236850863765,0.0759683150354565,NA,1.086354196,1.26141046,0.997405483,1.086354196,1.1294079715
Rpsa,0.00513175323505798,0.0101707639417715,0.0330417758893476,0.0566430443817387,NA,1.222767571,1.614332928,0.634016378,1.222767571,1.124174653
Rtcb,0.0106011594371238,0.0185520290149666,NA,NA,NA,NA,0.712023431,0.993436265,NA,0.852729848
Slc25a1,0.00228353402821787,0.00591561177388724,0.0335621309180479,0.0569734069414048,NA,1.217155337,1.177407578,1.627894829,1.217155337,1.4026512035
Slc25a12,0.00760218208688163,0.0140512241942925,0.140375791886406,0.185581555375249,NA,0.615397542,NA,0.980056174,0.615397542,0.980056174
Syncrip,0.000635163623792729,0.00242987014218381,NA,NA,NA,NA,1.80240004,NA,NA,1.80240004
Tardbp,0.0362802195320007,0.0495277685727313,0.0878601346182853,0.125744779820665,NA,0.835728602,0.326537348,NA,0.835728602,0.326537348
Tcp1,0.000992646022989715,0.00327801267338235,NA,NA,NA,NA,NA,1.667767554,NA,1.667767554
Them6,0.010211306722571,0.0179653471215287,0.179812442536282,0.228985641107429,NA,0.485357579,0.867342995,NA,0.485357579,0.867342995
Tpi1,0.00168079630906577,0.00457009905522841,0.10959527704652,0.149972484379448,0.607484193,0.8633886,1.09369538,1.911207098,0.7354363965,1.502451239
Tubb5,0.0238502291985125,0.034798863714066,0.186592798140283,0.234745778305517,0.335597588,0.594225422,0.622180704,0.41240458,0.464911505,0.517292642
Upf1,0.00084861861070934,0.00297016513748269,0.0349201823992764,0.0585757898310443,1.378678078,1.026998624,1.943546308,1.487621392,1.202838351,1.71558385
Vdac1,0.0290307257037503,0.0413467911538262,0.150104259743567,0.195952004351435,NA,0.581281116,0.587749018,0.271443811,0.581281116,0.4295964145
Ywhag,0.00492934020437399,0.0100108205385126,0.0801880050391095,0.11745848625447,0.726918386,1.02414974,1.240802778,1.036348324,0.875534063,1.138575551
Ywhah,0.00117735436111085,0.00362008957762121,0.0360937470265055,0.0595833284247075,1.052137623,1.329522196,1.3934162,1.836604321,1.1908299095,1.6150102605
Ywhaq,0.0115163190062092,0.0199414155423307,0.0534372034520455,0.0846315100357268,0.758985343,1.32582864,NA,0.820183245,1.0424069915,0.820183245
Ywhaz,0.00426281277772313,0.00910691820695396,0.0620214379727658,0.0948563168995242,NA,0.982904762,1.296428039,1.083660944,0.982904762,1.1900444915
