,sham.pval,sham.fdr,sna.pval,sna.fdr,sna.log2Ratio.fwd,sna.log2Ratio.rev,sham.log2Ratio.fwd,sham.log2Ratio.rev,sna.mean,sham.mean
Rplp0,0.000540335813358147,0.00211631526898608,0.00586922439811349,0.0143062344704016,1.763709007,1.773096941,1.931456141,1.768567592,1.768402974,1.8500118665
Rps11,6.84071276126153e-05,0.000474727309634246,0.00209363144745812,0.00572993869830645,2.252930296,1.833927324,2.678545212,2.149248574,2.04342881,2.413896893
Rps13,0.000233386509115816,0.0011812947922939,0.00846705070134476,0.0183452765195803,1.534360472,1.7916076,2.094573898,2.082224559,1.662984036,2.0883992285
Rps14,0.000822602648908979,0.00291006743538768,0.019374113889271,0.0357675948725004,1.329468079,1.482452173,1.736994448,1.713024252,1.405960126,1.72500935
Rps15a,0.000860725853213234,0.00298082953375952,0.00453968241269403,0.0112411183552423,1.994507316,1.68492074,1.698440756,1.724134745,1.839714028,1.7112877505
Rps16,0.000887744560985821,0.00304237458921183,0.00693731759285732,0.0161111526326668,1.718175283,1.72356289,1.581495871,1.822299027,1.7208690865,1.701897449
Rps18,0.000728486425666982,0.00269294420274648,0.0267067519765043,0.0470763085687534,1.230817842,1.36464493,1.898982227,1.624154275,1.297731386,1.761568251
Rps20,0.00564828867557077,0.0109957809127975,0.0171537433520738,0.0320477121308205,1.481867227,1.40939319,0.932590365,1.246600844,1.4456302085,1.0895956045
Rps24,9.30595848435365e-06,0.000113394827457494,0.00296821839898711,0.00791524906396563,1.953488751,NA,3.202809492,2.591092533,1.953488751,2.8969510125
Rps25,0.000194149222597199,0.00102413580525262,0.00305783812458472,0.00797282258655138,1.945682608,NA,2.138847227,NA,1.945682608,2.138847227
Rps3,0.00197006255174824,0.00514803789842368,0.0180490957009681,0.0335197491589407,1.383496944,1.474773006,1.544831552,1.357344632,1.429134975,1.451088092
Rps3a1,0.000661316727684588,0.0025008414184854,0.00929114394930652,0.0193255794145576,1.810196292,1.460846153,1.806818964,1.774034124,1.6355212225,1.790426544
Rps4x,0.000101346359338467,0.000649706291789522,0.000891413959883252,0.00259926313536051,2.388823247,2.114847378,2.532840574,2.091786579,2.2518353125,2.3123135765
Rps6,0.000303146762151726,0.00141622372787444,0.00697117181221158,0.0161111526326668,NA,1.719471215,1.72320904,2.308072832,1.719471215,2.015640936
Rps8,4.95668751247882e-05,0.000370625043546712,0.00198736979329672,0.00553624442418372,1.425674135,2.687520693,2.721438285,2.269442641,2.056597414,2.495440463
Rps9,0.000989006869313092,0.00327801267338235,0.0238222332730503,0.0427157286275385,NA,1.336901354,2.544707931,0.793081765,1.336901354,1.668894848
S100a10,0.000253092565341927,0.00120677469561586,9.90370388898779e-05,0.000359297164344673,2.600008027,2.859247516,2.065985829,NA,2.7296277715,2.065985829
Sdha,0.00234202642424784,0.00594189894342476,0.00884260143274139,0.0187679703878593,1.68853847,1.611843534,0.682573297,2.106001047,1.650191002,1.394287172
Sept2,0.0076594051332776,0.0140779010550186,0.00736601308262343,0.0165337847609965,NA,1.703595456,NA,0.977241602,1.703595456,0.977241602
Tecr,0.0031881116892103,0.0072839496232652,0.011902554742383,0.0236534845835892,NA,1.56068538,1.22718656,1.354095484,1.56068538,1.290641022
Txn,0.000381355191560718,0.00164870396265197,0.00729679419597782,0.0164970999213412,NA,1.706323469,1.95069236,NA,1.706323469,1.95069236
Ywhab,0.011843841264838,0.0202949155006859,0.0100188155807098,0.0205427818936201,NA,1.612990455,1.255984068,0.362176483,1.612990455,0.8090802755
