	sham.pval	sham.fdr	sna.pval	sna.fdr	sna.log2Ratio.fwd	sna.log2Ratio.rev	sham.log2Ratio.fwd	sham.log2Ratio.rev	sna.mean	sham.mean	FisherP	FisherFDR
Rplp0	0.000540335813358147	0.00211631526898608	0.00586922439811349	0.0143062344704016	1.763709007	-1.773096941	1.931456141	-1.768567592	1.768402974	1.8500118665	4.33249595311529e-05	0.000108721124861195
Rps10	0.0168968138366586	0.0262219422276447	NA	NA	NA	NA	0.392647144	-0.93669035	NA	0.664668747	NA	NA
Rps11	6.84071276126153e-05	0.000474727309634246	0.00209363144745812	0.00572993869830645	2.252930296	-1.833927324	2.678545212	-2.149248574	2.04342881	2.413896893	2.40019653917884e-06	7.98065349276965e-06
Rps12	NA	NA	0.106434358462091	0.146288633657147	0.749062231	NA	NA	NA	0.749062231	NA	NA	NA
Rps13	0.000233386509115816	0.0011812947922939	0.00846705070134476	0.0183452765195803	1.534360472	-1.7916076	2.094573898	-2.082224559	1.662984036	2.0883992285	2.79308985519377e-05	7.98883765033917e-05
Rps14	0.000822602648908979	0.00291006743538768	0.019374113889271	0.0357675948725004	1.329468079	-1.482452173	1.736994448	-1.713024252	1.405960126	1.72500935	0.000191993101813549	0.000405318770495271
Rps15	0.0398872532428102	0.0527942464135198	NA	NA	NA	NA	-0.677541091	-1.240452113	NA	0.281455511	NA	NA
Rps15a	0.000860725853213234	0.00298082953375952	0.00453968241269403	0.0112411183552423	1.994507316	-1.68492074	1.698440756	-1.724134745	1.839714028	1.7112877505	5.2565113336311e-05	0.000129465927291284
Rps16	0.000887744560985821	0.00304237458921183	0.00693731759285732	0.0161111526326668	1.718175283	-1.72356289	1.581495871	-1.822299027	1.7208690865	1.701897449	8.00469871311893e-05	0.000186776303306108
Rps17	0.000365504941021771	0.00162501521075895	0.0367775400001236	0.060392592000203	0.293958979	-2.074000581	1.847676272	-2.077893512	1.18397978	1.962784892	0.00016422679276607	0.000355946333947414
Rps18	0.000728486425666982	0.00269294420274648	0.0267067519765043	0.0470763085687534	1.230817842	-1.36464493	1.898982227	-1.624154275	1.297731386	1.761568251	0.000230496784425441	0.000475287943078817
Rps19	0.00197158898237503	0.00514803789842368	0.0549884831737733	0.0859728737932464	0.901108243	-1.161136955	1.397857712	-1.503813791	1.031122599	1.4508357515	0.00109819167160848	0.00189687652368738
Rps2	0.00257915269669858	0.00627326722476588	NA	NA	NA	NA	1.618943383	-1.10547323	NA	1.3622083065	NA	NA
Rps20	0.00564828867557077	0.0109957809127975	0.0171537433520738	0.0320477121308205	1.481867227	-1.40939319	0.932590365	-1.246600844	1.4456302085	1.0895956045	0.000992334487000804	0.00173658535225141
Rps24	9.30595848435365e-06	0.000113394827457494	0.00296821839898711	0.00791524906396563	1.953488751	NA	3.202809492	-2.591092533	1.953488751	2.8969510125	5.08375372619629e-07	2.1464737955051e-06
Rps25	0.000194149222597199	0.00102413580525262	0.00305783812458472	0.00797282258655138	1.945682608	NA	2.138847227	NA	1.945682608	2.138847227	9.10518134131813e-06	2.84938616093014e-05
Rps27a	0.0126897651012395	0.0210954103653682	0.265217733125345	0.304220340937895	-0.046995569	-0.555735799	1.130140135	-0.433038758	0.254370115	0.7815894465	0.0225295474327986	0.0292334615469484
Rps3	0.00197006255174824	0.00514803789842368	0.0180490957009681	0.0335197491589407	1.383496944	-1.474773006	1.544831552	-1.357344632	1.429134975	1.451088092	0.000399824871523245	0.000765132487950958
Rps3a1	0.000661316727684588	0.0025008414184854	0.00929114394930652	0.0193255794145576	1.810196292	-1.460846153	1.806818964	-1.774034124	1.6355212225	1.790426544	7.98768793068135e-05	0.000186776303306108
Rps4x	0.000101346359338467	0.000649706291789522	0.000891413959883252	0.00259926313536051	2.388823247	-2.114847378	2.532840574	-2.091786579	2.2518353125	2.3123135765	1.55565168322511e-06	5.3740694511413e-06
Rps5	0.00505735566603716	0.0101455488666233	0.0477236850863765	0.0759683150354565	NA	-1.086354196	1.26141046	-0.997405483	1.086354196	1.1294079715	0.00225166453264139	0.0035440400336249
Rps6	0.000303146762151726	0.00141622372787444	0.00697117181221158	0.0161111526326668	NA	-1.719471215	1.72320904	-2.308072832	1.719471215	2.015640936	2.97281855699048e-05	8.23718475166111e-05
Rps8	4.95668751247882e-05	0.000370625043546712	0.00198736979329672	0.00553624442418372	1.425674135	-2.687520693	2.721438285	-2.269442641	2.056597414	2.495440463	1.6877455076728e-06	5.75564493642263e-06
Rps9	0.000989006869313092	0.00327801267338235	0.0238222332730503	0.0427157286275385	NA	-1.336901354	2.544707931	-0.793081765	1.336901354	1.668894848	0.000274618176911523	0.000541099518951593
Rpsa	0.00513175323505798	0.0101707639417715	0.0330417758893476	0.0566430443817387	NA	-1.222767571	1.614332928	-0.634016378	1.222767571	1.124174653	0.00164175086837483	0.00269571438881299
Rtcb	0.0106011594371238	0.0185520290149666	NA	NA	NA	NA	0.712023431	-0.993436265	NA	0.852729848	NA	NA
S100a10	0.000253092565341927	0.00120677469561586	9.90370388898779e-05	0.000359297164344673	2.600008027	-2.859247516	2.065985829	NA	2.7296277715	2.065985829	4.63756871324245e-07	1.98966657697176e-06
scFv 6H8	0.000746593238263006	0.00269922170756625	NA	NA	NA	NA	-4.755083722	4.875386905	NA	-4.8152353135	NA	NA
Sdha	0.00234202642424784	0.00594189894342476	0.00884260143274139	0.0187679703878593	1.68853847	-1.611843534	0.682573297	-2.106001047	1.650191002	1.394287172	0.000244060905369955	0.000495574052125252
Sept2	0.0076594051332776	0.0140779010550186	0.00736601308262343	0.0165337847609965	NA	-1.703595456	NA	-0.977241602	1.703595456	0.977241602	0.000608352133185121	0.0011083675851181
Serbp1	0.888885866252589	0.930338348530323	0.0551108165341323	0.0859728737932464	0.745108226	-1.315378721	-0.421843814	0.114367025	1.0302434735	-0.2681054195	0.196742286526848	0.212737594374559
Sf3b1	NA	NA	0.0153027360642509	0.0292911266996705	NA	-1.48221032	NA	NA	1.48221032	NA	NA	NA
Sfn	0.200102482771151	0.231808862083481	NA	NA	NA	NA	NA	2.400565253	NA	-2.400565253	NA	NA
Slc25a1	0.00228353402821787	0.00591561177388724	0.0335621309180479	0.0569734069414048	NA	-1.217155337	1.177407578	-1.627894829	1.217155337	1.4026512035	0.00080291317853388	0.00143338862744975
Slc25a12	0.00760218208688163	0.0140512241942925	0.140375791886406	0.185581555375249	NA	-0.615397542	NA	-0.980056174	0.615397542	0.980056174	0.00836948969501179	0.0117792817929796
Slc25a3	0.0530469116757646	0.0673839148313766	0.22670512883089	0.273096525850338	0.378622596	-0.325955223	0.176450439	-0.105162839	0.3522889095	0.140806639	0.0651891801723583	0.076727088167466
Slc25a4	0.0385147455309302	0.0517334145486661	0.170200462604354	0.219432001374208	0.580338474	-0.450045029	0.385707125	-0.210696422	0.5151917515	0.2982017735	0.0395115843363046	0.0484335549928895
Slc25a5	0.037744036760695	0.051313173943259	0.0984364846942562	0.138343167678414	0.944708548	-0.625088505	0.416731671	-0.198907581	0.7848985265	0.307819626	0.0245040079096224	0.0316410975920367
Snrpd2	NA	NA	0.0749853682230693	0.11140683278856	0.904195048	NA	NA	NA	0.904195048	NA	NA	NA
Snrpd3	NA	NA	0.309736422455827	0.350136825384848	NA	-0.14977665	NA	NA	0.14977665	NA	NA	NA
Spata7	NA	NA	0.0702756813232745	0.104909151066324	-1.426470353	NA	NA	NA	-1.426470353	NA	NA	NA
Sptan1	0.0415278724401928	0.0540026483510807	0.471701074191441	0.490569117159099	-0.225193968	0.383386346	0.622368152	0.098284796	-0.304290157	0.262041678	0.0966273518919736	0.108910489844343
Sptbn1	0.895360218342407	0.930338348530323	0.263442909504042	0.303564781631326	-0.753701373	NA	0.454491777	0.918462565	-0.753701373	-0.231985394	0.576587295502834	0.606214310686774
Syncrip	0.000635163623792729	0.00242987014218381	NA	NA	NA	NA	1.80240004	NA	NA	1.80240004	NA	NA
Tardbp	0.0362802195320007	0.0495277685727313	0.0878601346182853	0.125744779820665	NA	-0.835728602	0.326537348	NA	0.835728602	0.326537348	0.0215113907619157	0.0280491663856352
Tcp1	0.000992646022989715	0.00327801267338235	NA	NA	NA	NA	NA	-1.667767554	NA	1.667767554	NA	NA
Tecr	0.0031881116892103	0.0072839496232652	0.011902554742383	0.0236534845835892	NA	-1.56068538	1.22718656	-1.354095484	1.56068538	1.290641022	0.000424218340742105	0.000800298430052482
Them6	0.010211306722571	0.0179653471215287	0.179812442536282	0.228985641107429	NA	-0.485357579	0.867342995	NA	0.485357579	0.867342995	0.0134038607883502	0.0179167184407092
Tpi1	0.00168079630906577	0.00457009905522841	0.10959527704652	0.149972484379448	0.607484193	-0.8633886	1.09369538	-1.911207098	0.7354363965	1.502451239	0.00176828886516673	0.00286807828130702
Trim21	0.077016726459485	0.0931562610484212	0.000469352407400099	0.00143566618734148	NA	2.894080467	NA	3.004735081	-2.894080467	-3.004735081	0.000405865585797732	0.000771144613015691
Ttr	0.000385866884875993	0.00164870396265197	1.85240632515154e-05	8.02709407565666e-05	-2.576733797	4.518409244	-5.390108905	4.626614352	-3.5475715205	-5.0083616285	1.41215657067965e-07	7.087427316996e-07
Tuba1a	NA	NA	0.358355776090982	0.389571436029221	-0.367136214	-0.452708121	NA	NA	0.0427859535	NA	NA	NA
Tuba4a	NA	NA	0.190179294318833	0.238296947098297	NA	0.94927345	NA	NA	-0.94927345	NA	NA	NA
Tubb3	0.0399567396868281	0.0527942464135198	0.196676895805028	0.243504728139559	0.439889048	-0.43078114	0.233765377	-0.327475087	0.435335094	0.280620232	0.0459423719216554	0.0558021503705951
Tubb4a	NA	NA	0.365879718860537	0.393952438728609	0.02672925	NA	NA	NA	0.02672925	NA	NA	NA
Tubb5	0.0238502291985125	0.034798863714066	0.186592798140283	0.234745778305517	0.335597588	-0.594225422	0.622180704	-0.41240458	0.464911505	0.517292642	0.028547609340987	0.0361603051652502
Tufm	NA	NA	0.576161786147666	0.583644406746986	NA	0.093830572	NA	NA	-0.093830572	NA	NA	NA
Txn	0.000381355191560718	0.00164870396265197	0.00729679419597782	0.0164970999213412	NA	-1.706323469	1.95069236	NA	1.706323469	1.95069236	3.8378866416166e-05	9.91143540456327e-05
U2af1	0.921044438141181	0.930464117024924	NA	NA	NA	NA	-0.070042401	NA	NA	-0.070042401	NA	NA
U5LP42	0.0689520041813406	0.0840192939839299	3.13763755884177e-05	0.000132289583561977	-3.449217513	NA	-3.184424571	2.945457883	-3.449217513	-3.064941227	3.03832552930412e-05	8.33190299788552e-05
Upf1	0.00084861861070934	0.00297016513748269	0.0349201823992764	0.0585757898310443	1.378678078	-1.026998624	1.943546308	-1.487621392	1.202838351	1.71558385	0.000338614646119146	0.000652691999041253
Uqcrc2	0.0427348273877435	0.0553533787817622	0.145145445318455	0.191077548267333	NA	-0.59847875	0.03040671	-0.465898545	0.59847875	0.2481526275	0.0377299343717416	0.0466798257808524
Vcp	0.72850814832531	0.796276348169525	0.426368452789544	0.446399185470932	0.524966332	1.316956668	-0.815808587	0.986956963	-0.395995168	-0.901382775	0.673783927533036	0.697379473633415
Vdac1	0.0290307257037503	0.0413467911538262	0.150104259743567	0.195952004351435	NA	-0.581281116	0.587749018	-0.271443811	0.581281116	0.4295964145	0.0280449829756341	0.0356936146962615
Vim	0.343789054418349	0.392731246193183	0.00219308836243062	0.00594994407894221	-2.620867042	2.43239825	-1.839699349	2.0531461	-2.526632646	-1.9464227245	0.00617505988716255	0.00887873475667696
VM13	0.103426810097317	0.123736074625518	NA	NA	NA	NA	-2.835986111	NA	NA	-2.835986111	NA	NA
X5J4I8	0.00277747439344641	0.00657402212549545	2.38314404650418e-07	1.90651523720334e-06	-4.325221195	4.226431461	-4.398390951	NA	-4.275826328	-4.398390951	1.46520135362685e-08	8.66096800143869e-08
X5J4T8	0.0663567274044339	0.0817654056781227	0.00186516723646737	0.00524263223223262	-2.040081503	3.095012956	-3.085466091	NA	-2.5675472295	-3.085466091	0.00123730683426869	0.00209632877653167
X5J5C6	NA	NA	2.99481310388809e-11	1.86876337682617e-09	-5.482613431	NA	NA	NA	-5.482613431	NA	NA	NA
Ywhab	0.011843841264838	0.0202949155006859	0.0100188155807098	0.0205427818936201	NA	-1.612990455	1.255984068	-0.362176483	1.612990455	0.8090802755	0.00119126860503548	0.00203269901787257
Ywhag	0.00492934020437399	0.0100108205385126	0.0801880050391095	0.11745848625447	0.726918386	-1.02414974	1.240802778	-1.036348324	0.875534063	1.138575551	0.00349261359765561	0.00527860918736586
Ywhah	0.00117735436111085	0.00362008957762121	0.0360937470265055	0.0595833284247075	1.052137623	-1.329522196	1.3934162	-1.836604321	1.1908299095	1.6150102605	0.00047025625849183	0.000868667810825185
Ywhaq	0.0115163190062092	0.0199414155423307	0.0534372034520455	0.0846315100357268	0.758985343	-1.32582864	NA	-0.820183245	1.0424069915	0.820183245	0.00516519784948514	0.00759084324841463
Ywhaz	0.00426281277772313	0.00910691820695396	0.0620214379727658	0.0948563168995242	NA	-0.982904762	1.296428039	-1.083660944	0.982904762	1.1900444915	0.00244242258621511	0.00379932402300128
